"global_category","indicator_name","value","count","Not Applicable","Not Specified","0.1 Mt CO2eq excluding LULUCF; 0.1 MtCO2eq including LULUCF","0.2 Mt CO2eq excluding LULUCF; 0.2 MtCO2eq including LULUCF","1350.3 Mt CO2eq excluding LULUCF; 1261 Mt CO2eq including LULUCF","139.2 Mt CO2eq excluding LULUCF; 110.6 Mt CO2eq including LULUCF","3.5 Mt CO2eq excluding LULUCF; 4.7 MtCO2eq including LULUCF","3363.3 Mt CO2eq excluding LULUCF; 3527.9 MtCO2eq including LULUCF","357.6 Mt CO2eq excluding LULUCF; 350.6 MtCO2eq including LULUCF","489.8 Mt CO2eq excluding LULUCF; 556.7 Mt CO2eq including LULUCF","50.4 Mt CO2eq excluding LULUCF; 40.3 MtCO2eq including LULUCF","52.9 Mt CO2eq excluding LULUCF; 51.0 MtCO2eq including LULUCF","5626.3 Mt CO2e excluding LULUCF; 5367.9 Mt CO2eq including LULUCF","60.6 Mt CO2eq excluding LULUCF; 23.4 MtCO2eq including LULUCF","7228.3 Mt CO2eq excluding LULUCF; 6223.1 Mt CO2e including LULUCF","735.8 Mt CO2eq excluding LULUCF; 789.2 Mt CO2eq including LULUCF","940.2 Mt CO2eq excluding LULUCF; 870.4 MtCO2eq including LULUCF","GlobalScore"
"Mitigation","Base year emissions","Not Applicable",55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Base year emissions","Not Specified",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Base year emissions","0.1 Mt CO2eq excluding LULUCF; 0.1 MtCO2eq including LULUCF",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Base year emissions","0.2 Mt CO2eq excluding LULUCF; 0.2 MtCO2eq including LULUCF",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Base year emissions","1350.3 Mt CO2eq excluding LULUCF; 1261 Mt CO2eq including LULUCF",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Base year emissions","139.2 Mt CO2eq excluding LULUCF; 110.6 Mt CO2eq including LULUCF",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Base year emissions","3.5 Mt CO2eq excluding LULUCF; 4.7 MtCO2eq including LULUCF",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Base year emissions","3363.3 Mt CO2eq excluding LULUCF; 3527.9 MtCO2eq including LULUCF",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Mitigation","Base year emissions","357.6 Mt CO2eq excluding LULUCF; 350.6 MtCO2eq including LULUCF",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Mitigation","Base year emissions","489.8 Mt CO2eq excluding LULUCF; 556.7 Mt CO2eq including LULUCF",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Mitigation","Base year emissions","50.4 Mt CO2eq excluding LULUCF; 40.3 MtCO2eq including LULUCF",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Mitigation","Base year emissions","52.9 Mt CO2eq excluding LULUCF; 51.0 MtCO2eq including LULUCF",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Mitigation","Base year emissions","5626.3 Mt CO2e excluding LULUCF; 5367.9 Mt CO2eq including LULUCF",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Mitigation","Base year emissions","60.6 Mt CO2eq excluding LULUCF; 23.4 MtCO2eq including LULUCF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Mitigation","Base year emissions","7228.3 Mt CO2eq excluding LULUCF; 6223.1 Mt CO2e including LULUCF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Mitigation","Base year emissions","735.8 Mt CO2eq excluding LULUCF; 789.2 Mt CO2eq including LULUCF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Mitigation","Base year emissions","940.2 Mt CO2eq excluding LULUCF; 870.4 MtCO2eq including LULUCF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
