"global_category","indicator_name","value","count","Yes","N/A","No","Yes. <br>""By 2022"," a Climate Finance Strategy"," and National Capacity on Climate Finance Management will be formulated.""","Yes. <br>""In addition to the designated areas"," the Russian Federation will continue"," within the framework of relevant international agreements"," to strengthen capacity in developing countries through the training of qualified specialists in climatology"," meteorology"," hydrology and oceanography.""","Yes.<br>""Awareness raising on environmental and climate change as well as circular economy will be a key element in climate change projects to enhance understanding of stakeholders at different levels on the greenhouse gas emission contributing to climate change and impacts of climate change.""","Yes.<br>""Capacity building in Climate Smart Agriculture (CSA)"," Sustainable Forest Management (SFM)"," Sustainable Fisheries and Aquaculture (SFA)"," Renewable Energy Technologies (RET)"," and Early Warning Systems (EWS)"," Change management and climate change planning.""","Yes.<br>""Consensus on definition of MPAs and SMAs"" is listed as a requirement for adaptation targets.","Yes.<br>""The country has identified 132 needs regarding financing"," capacity building/strengthening"," and technology development and transfer (presented in Annex A4). "" See Annex A3 and A4 in the original text for more information.","Yes.<br>""The Republic of Korea has been operating a series of international programs to support developing countries’ capacity-building for adaptation and is set to work more closely with the international community to further contribute to an enhanced global adaptation effort.""","Yes.<br>""The strategy seeks to strengthen Brunei Darussalam’s resilience against climate change risks and increase its capacity to adapt to the impacts of the changing climate. This includes"," among others"," enhancing and integrating climate science findings into policies"," conducting climate impact assessments and consideration of nature-based solutions as an option to increase resilience.""","Yes<br>""Armenia anticipates being able to access adequate financial"," technological"," and capacity building support to mitigate and adapt to climate change;""","Yes<br>""Fiji’s national security depends on multilateral actions to address the climate crisis and support vulnerable countries in taking the requisite adaptation actions with appropriate technologies"," capacity and finance.""","Yes<br>""It is necessary to improve the processes of monitoring"," analysis and modelling of climate data"," and to strengthen professional and institutional capacities.""","Yes<br>""Kenya intends to mobilize domestic resources to cater for 10% of the adaptation cost"," while 90% of the adaptation cost will require international support in form of finance"," technology development and transfer"," and capacity building.""","Yes<br>""Updating or adding information on gaps and barriers (policy"," institutional arrangements"," resource mobilization"," training"," and capacity building)"" <br>""Adding actions or measures to strengthen implementation (policy"," and capacity building and technology)""","Yes<br>Please visit Appendix 2: Detailed Adaptation Actions for specific information","GlobalScore"
"Adaptation","Capacity Building","Yes",221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Capacity Building","N/A",62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Capacity Building","Not Specified",5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Capacity Building","No",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Capacity Building","Yes. <br>""By 2022, a Climate Finance Strategy, and National Capacity on Climate Finance Management will be formulated.""",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Capacity Building","Yes. <br>""In addition to the designated areas, the Russian Federation will continue, within the framework of relevant international agreements, to strengthen capacity in developing countries through the training of qualified specialists in climatology, meteorology, hydrology and oceanography.""",1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
"Adaptation","Capacity Building","Yes.<br>""Awareness raising on environmental and climate change as well as circular economy will be a key element in climate change projects to enhance understanding of stakeholders at different levels on the greenhouse gas emission contributing to climate change and impacts of climate change.""",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Capacity Building","Yes.<br>""Capacity building in Climate Smart Agriculture (CSA), Sustainable Forest Management (SFM), Sustainable Fisheries and Aquaculture (SFA), Renewable Energy Technologies (RET), and Early Warning Systems (EWS), Change management and climate change planning.""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Adaptation","Capacity Building","Yes.<br>""Consensus on definition of MPAs and SMAs"" is listed as a requirement for adaptation targets.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Capacity Building","Yes.<br>""The country has identified 132 needs regarding financing, capacity building/strengthening, and technology development and transfer (presented in Annex A4). "" See Annex A3 and A4 in the original text for more information.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
"Adaptation","Capacity Building","Yes.<br>""The Republic of Korea has been operating a series of international programs to support developing countries’ capacity-building for adaptation and is set to work more closely with the international community to further contribute to an enhanced global adaptation effort.""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Capacity Building","Yes.<br>""The strategy seeks to strengthen Brunei Darussalam’s resilience against climate change risks and increase its capacity to adapt to the impacts of the changing climate. This includes, among others, enhancing and integrating climate science findings into policies, conducting climate impact assessments and consideration of nature-based solutions as an option to increase resilience.""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Adaptation","Capacity Building","Yes<br>""Armenia anticipates being able to access adequate financial, technological, and capacity building support to mitigate and adapt to climate change;""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Capacity Building","Yes<br>""Fiji’s national security depends on multilateral actions to address the climate crisis and support vulnerable countries in taking the requisite adaptation actions with appropriate technologies, capacity and finance.""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Capacity Building","Yes<br>""It is necessary to improve the processes of monitoring, analysis and modelling of climate data, and to strengthen professional and institutional capacities.""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Capacity Building","Yes<br>""Kenya intends to mobilize domestic resources to cater for 10% of the adaptation cost, while 90% of the adaptation cost will require international support in form of finance, technology development and transfer, and capacity building.""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,5
"Adaptation","Capacity Building","Yes<br>""Updating or adding information on gaps and barriers (policy, institutional arrangements, resource mobilization, training, and capacity building)"" <br>""Adding actions or measures to strengthen implementation (policy, institutional arrangements, resource mobilization, training, and capacity building and technology)""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,7
"Adaptation","Capacity Building","Yes<br>Please visit Appendix 2: Detailed Adaptation Actions for specific information",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
